checksum_http_service=LISTENING
checksum_http_port=19411
checksum_http_workers=1
checksum_http_mode=emulate
checksum_http_runtime=/Users/danielscai/Documents/workspace/navpay/navpay-phonepe/src/services/checksum/runtime
checksum_http_library=/Users/danielscai/Documents/workspace/navpay/navpay-phonepe/src/services/checksum/runtime/lib/arm64-v8a/libphonepe-cryptography-support-lib.so
WARNING: A restricted method in java.lang.System has been called
WARNING: java.lang.System::loadLibrary has been called by org.scijava.nativelib.NativeLoader in an unnamed module (file:/Users/danielscai/Documents/workspace/navpay/navpay-phonepe/src/services/checksum/target/checksum-service.jar)
WARNING: Use --enable-native-access=ALL-UNNAMED to avoid a warning for callers in this module
WARNING: Restricted methods will be blocked in a future release unless native access is enabled

[pool-1-thread-1] INFO com.github.unidbg.linux.AndroidSyscallHandler - Return default pipe pair.
checksum_perf construct_ms=0.000 execute_ms=8.528 prepare_ms=0.001 checksum_ms=5.966 jnmcs_ms=5.918 reused=true
checksum_perf construct_ms=0.000 execute_ms=22.161 prepare_ms=0.002 checksum_ms=21.578 jnmcs_ms=21.463 reused=true
checksum_perf construct_ms=0.000 execute_ms=8.756 prepare_ms=0.001 checksum_ms=8.181 jnmcs_ms=8.131 reused=true
checksum_perf construct_ms=0.000 execute_ms=7.096 prepare_ms=0.001 checksum_ms=6.420 jnmcs_ms=6.372 reused=true
checksum_perf construct_ms=0.000 execute_ms=12.653 prepare_ms=0.001 checksum_ms=7.965 jnmcs_ms=7.913 reused=true
checksum_perf construct_ms=0.000 execute_ms=12.988 prepare_ms=0.001 checksum_ms=11.776 jnmcs_ms=11.628 reused=true
checksum_perf construct_ms=0.000 execute_ms=17.221 prepare_ms=0.001 checksum_ms=16.849 jnmcs_ms=15.722 reused=true
checksum_perf construct_ms=0.000 execute_ms=5.497 prepare_ms=0.001 checksum_ms=4.792 jnmcs_ms=4.761 reused=true
checksum_perf construct_ms=0.000 execute_ms=7.400 prepare_ms=0.001 checksum_ms=6.653 jnmcs_ms=6.610 reused=true
checksum_perf construct_ms=0.000 execute_ms=8.147 prepare_ms=0.001 checksum_ms=7.249 jnmcs_ms=7.217 reused=true
checksum_perf construct_ms=0.000 execute_ms=7.138 prepare_ms=0.001 checksum_ms=5.031 jnmcs_ms=3.356 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.279 prepare_ms=0.001 checksum_ms=2.760 jnmcs_ms=2.745 reused=true
checksum_perf construct_ms=0.000 execute_ms=2.535 prepare_ms=0.000 checksum_ms=2.322 jnmcs_ms=2.309 reused=true
checksum_perf construct_ms=0.000 execute_ms=4.962 prepare_ms=0.000 checksum_ms=4.616 jnmcs_ms=4.598 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.629 prepare_ms=0.001 checksum_ms=3.300 jnmcs_ms=3.281 reused=true
checksum_perf construct_ms=0.000 execute_ms=5.073 prepare_ms=0.001 checksum_ms=4.825 jnmcs_ms=4.807 reused=true
checksum_perf construct_ms=0.000 execute_ms=2.849 prepare_ms=0.001 checksum_ms=2.639 jnmcs_ms=2.616 reused=true
checksum_perf construct_ms=0.000 execute_ms=38.608 prepare_ms=0.001 checksum_ms=36.875 jnmcs_ms=36.788 reused=true
checksum_perf construct_ms=0.000 execute_ms=12.142 prepare_ms=0.001 checksum_ms=11.559 jnmcs_ms=11.490 reused=true
checksum_perf construct_ms=0.000 execute_ms=5.083 prepare_ms=0.001 checksum_ms=4.558 jnmcs_ms=4.520 reused=true
checksum_perf construct_ms=0.000 execute_ms=6.937 prepare_ms=0.001 checksum_ms=4.441 jnmcs_ms=4.400 reused=true
checksum_perf construct_ms=0.000 execute_ms=9.912 prepare_ms=0.001 checksum_ms=9.646 jnmcs_ms=9.608 reused=true
checksum_perf construct_ms=0.000 execute_ms=10.255 prepare_ms=0.001 checksum_ms=9.341 jnmcs_ms=9.300 reused=true
checksum_perf construct_ms=0.000 execute_ms=5.204 prepare_ms=0.001 checksum_ms=4.927 jnmcs_ms=4.897 reused=true
checksum_perf construct_ms=0.000 execute_ms=7.442 prepare_ms=0.001 checksum_ms=7.193 jnmcs_ms=7.108 reused=true
checksum_perf construct_ms=0.000 execute_ms=8.119 prepare_ms=0.001 checksum_ms=7.551 jnmcs_ms=7.510 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.265 prepare_ms=0.001 checksum_ms=3.028 jnmcs_ms=3.003 reused=true
checksum_perf construct_ms=0.000 execute_ms=5.456 prepare_ms=0.001 checksum_ms=4.906 jnmcs_ms=4.868 reused=true
checksum_perf construct_ms=0.000 execute_ms=12.726 prepare_ms=0.002 checksum_ms=6.455 jnmcs_ms=6.179 reused=true
checksum_perf construct_ms=0.000 execute_ms=4.148 prepare_ms=0.001 checksum_ms=3.878 jnmcs_ms=3.857 reused=true
checksum_perf construct_ms=0.000 execute_ms=5.150 prepare_ms=0.001 checksum_ms=4.661 jnmcs_ms=4.502 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.237 prepare_ms=0.001 checksum_ms=2.956 jnmcs_ms=2.936 reused=true
checksum_perf construct_ms=0.000 execute_ms=5.605 prepare_ms=0.001 checksum_ms=4.142 jnmcs_ms=4.117 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.171 prepare_ms=0.001 checksum_ms=2.953 jnmcs_ms=2.935 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.419 prepare_ms=0.001 checksum_ms=3.224 jnmcs_ms=3.204 reused=true
checksum_perf construct_ms=0.000 execute_ms=6.792 prepare_ms=0.001 checksum_ms=6.280 jnmcs_ms=6.211 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.072 prepare_ms=0.001 checksum_ms=2.820 jnmcs_ms=2.798 reused=true
checksum_perf construct_ms=0.000 execute_ms=5.472 prepare_ms=0.001 checksum_ms=5.114 jnmcs_ms=5.090 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.610 prepare_ms=0.001 checksum_ms=3.083 jnmcs_ms=3.064 reused=true
checksum_perf construct_ms=0.000 execute_ms=5.462 prepare_ms=0.002 checksum_ms=4.790 jnmcs_ms=4.747 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.833 prepare_ms=0.001 checksum_ms=3.617 jnmcs_ms=3.592 reused=true
checksum_perf construct_ms=0.000 execute_ms=6.746 prepare_ms=0.001 checksum_ms=6.492 jnmcs_ms=6.425 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.905 prepare_ms=0.001 checksum_ms=3.622 jnmcs_ms=3.570 reused=true
checksum_perf construct_ms=0.000 execute_ms=6.530 prepare_ms=0.001 checksum_ms=5.999 jnmcs_ms=5.962 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.250 prepare_ms=0.001 checksum_ms=2.709 jnmcs_ms=2.684 reused=true
checksum_perf construct_ms=0.000 execute_ms=2.665 prepare_ms=0.000 checksum_ms=2.455 jnmcs_ms=2.441 reused=true
checksum_perf construct_ms=0.000 execute_ms=4.201 prepare_ms=0.001 checksum_ms=3.642 jnmcs_ms=3.623 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.394 prepare_ms=0.000 checksum_ms=3.200 jnmcs_ms=3.187 reused=true
checksum_perf construct_ms=0.000 execute_ms=4.146 prepare_ms=0.001 checksum_ms=3.980 jnmcs_ms=3.962 reused=true
checksum_perf construct_ms=0.000 execute_ms=2.804 prepare_ms=0.001 checksum_ms=2.589 jnmcs_ms=2.535 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.606 prepare_ms=0.001 checksum_ms=3.421 jnmcs_ms=3.404 reused=true
checksum_perf construct_ms=0.000 execute_ms=4.051 prepare_ms=0.001 checksum_ms=3.530 jnmcs_ms=3.504 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.524 prepare_ms=0.001 checksum_ms=3.276 jnmcs_ms=3.262 reused=true
checksum_perf construct_ms=0.000 execute_ms=5.548 prepare_ms=0.001 checksum_ms=5.362 jnmcs_ms=5.323 reused=true
checksum_perf construct_ms=0.000 execute_ms=4.295 prepare_ms=0.000 checksum_ms=4.079 jnmcs_ms=4.060 reused=true
checksum_perf construct_ms=0.000 execute_ms=4.092 prepare_ms=0.001 checksum_ms=3.916 jnmcs_ms=3.901 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.861 prepare_ms=0.001 checksum_ms=3.667 jnmcs_ms=3.654 reused=true
